,rank,name,opus,versions,duration,composer_name,composer_life
0,1,Die Schöpfung (The Creation),21:2,5,105m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
1,2,"Symphony no. 94 ""Surprise""",1:94,2,25m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
2,3,10 Menuets for piano,9:22,1,7m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
3,4,Piano Sonata No. 59 in E flat major,16:49,1,19m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
4,5,"Symphony no. 104 ""london""",1:104,2,29m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
5,6,"Missa in Tempore Belli ""Paukenmesse""",22:9,1,41m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
6,7,Violin concerto no. 4 in G major,7a:4,1,20m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
7,8,"Missa Brevis ""Sancti Joannis de Deo""",22:7,1,17m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
8,9,"Symphony no. 100 ""Military""",1:100,2,25m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
9,10,32 Pieces for mechanical clock (Flötenuhr),19,1,23m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
10,11,"Mass in D minor """"Lord Nelson""",22:11,3,42m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
11,12,London Trio no.1 in C major,4:1,1,8m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
12,13,Piano concerto in D major H. 18:11,18:11,2,18m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
13,14,"Missa Sancti Nicholai ""St. Nicholas Mass""",22:6,1,5m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
14,15,Trumpet Concerto,7e:1,2,15m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
15,16,Piano Sonata No. 60 in C major,16:50,3,16m,Franz Joseph Haydn,31 mar 1732 (Rohrau) -  31 may 1809 (Vienna)
