,rank,name,opus,versions,duration,composer_name,composer_life
0,1,Requiem,626,7,58m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
1,2,Symphony No. 40 in G minor,550,2,23m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
2,3,Eine kleine Nachtmusik (serenade no. 13),525,4,18m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
3,4,"12 piano variations ""Ah vous dirai-je, maman""",265,4,16m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
4,5,"10 piano var. ""Unser dummer Poebel meint""",455,1,23m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
5,6,Concerto for Clarinet in A major,622,3,31m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
6,7,Die Zauberflöte,620,5,143m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
7,8,"Piano Sonata no. 11 in A ""Alla Turca"" (contains Turkish march)",331,5,22m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
8,9,Don Giovanni,527,4,166m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
9,10,"Ave, verum corpus",618,6,4m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
10,11,Symphony No. 25 in G minor,183,1,17m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
11,12,Sonata for 2 Pianos in D major,448,2,24m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
12,13,Le Nozze de Figaro,492,5,154m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
13,14,"Symphony No. 41 in C major ""Jupiter""",551,1,27m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
14,15,Symphony No. 1 in E flat major,16,1,12m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
15,16,Piano concerto no. 20 in  D minor,466,5,32m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
16,17,Fantasia in C minor KV475,475,5,13m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
17,18,Piano concerto no. 24 in C minor,491,2,30m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
18,19,Quartet for Oboe & Strings in F major,370,2,16m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
19,20,Concerto for Flute (or Oboe) in D major,314,3,21m,Wolfgang Amadeus Mozart,27 jan 1756 (Salzburg) -  5 dec 1791 (Vienna)
20,1,2 arabesques,66,8,9m,Claude Debussy,22 aug 1862 (St. Germain-en-Laye) -  25 mar 1918 (Paris)
21,2,La mer,109,2,24m,Claude Debussy,22 aug 1862 (St. Germain-en-Laye) -  25 mar 1918 (Paris)
22,3,Suite bergamasque,75,7,19m,Claude Debussy,22 aug 1862 (St. Germain-en-Laye) -  25 mar 1918 (Paris)
23,4,Préludes I,117,24,41m,Claude Debussy,22 aug 1862 (St. Germain-en-Laye) -  25 mar 1918 (Paris)
24,5,Nocturne for piano L82,82,3,7m,Claude Debussy,22 aug 1862 (St. Germain-en-Laye) -  25 mar 1918 (Paris)
25,6,Children's corner,113,7,18m,Claude Debussy,22 aug 1862 (St. Germain-en-Laye) -  25 mar 1918 (Paris)
26,7,Sonata for violin & piano in G minor,140,3,14m,Claude Debussy,22 aug 1862 (St. Germain-en-Laye) -  25 mar 1918 (Paris)
27,8,Rêverie pour piano,68,4,5m,Claude Debussy,22 aug 1862 (St. Germain-en-Laye) -  25 mar 1918 (Paris)
28,9,Sonate for cello and piano in D minor,135,3,12m,Claude Debussy,22 aug 1862 (St. Germain-en-Laye) -  25 mar 1918 (Paris)
29,10,Rhapsodie for clarinet and orchestra,116,4,10m,Claude Debussy,22 aug 1862 (St. Germain-en-Laye) -  25 mar 1918 (Paris)
30,11,Petite suite,65,3,14m,Claude Debussy,22 aug 1862 (St. Germain-en-Laye) -  25 mar 1918 (Paris)
31,13,Images I,110,4,17m,Claude Debussy,22 aug 1862 (St. Germain-en-Laye) -  25 mar 1918 (Paris)
32,14,Valse romantique,71,2,4m,Claude Debussy,22 aug 1862 (St. Germain-en-Laye) -  25 mar 1918 (Paris)
33,15,Pelléas et Mélisande,88,3,155m,Claude Debussy,22 aug 1862 (St. Germain-en-Laye) -  25 mar 1918 (Paris)
34,16,Images for orchestra,122,1,18m,Claude Debussy,22 aug 1862 (St. Germain-en-Laye) -  25 mar 1918 (Paris)
35,17,Pour le piano,95,3,12m,Claude Debussy,22 aug 1862 (St. Germain-en-Laye) -  25 mar 1918 (Paris)
