name,birth_time,death_time,birthplace
Franz Joseph Haydn,31 mar 1732 ,  31 may 1809 ,Rohrau
Carl Philipp Emanuel Bach,31 mar 1732 ,  31 may 1809 ,Rohrau
Johann Sebastian Bach,31 mar 1732 ,  31 may 1809 ,Rohrau
Richard Wagner,31 mar 1732 ,  31 may 1809 ,Rohrau
Robert Schumann,31 mar 1732 ,  31 may 1809 ,Rohrau
Johannes Brahms,31 mar 1732 ,  31 may 1809 ,Rohrau
Felix Mendelssohn-Bartholdy,31 mar 1732 ,  31 may 1809 ,Rohrau
Anton Rubinstein,31 mar 1732 ,  31 may 1809 ,Rohrau
Pyotr Ilyich Tchaikovsky,31 mar 1732 ,  31 may 1809 ,Rohrau
Frédéric Chopin,31 mar 1732 ,  31 may 1809 ,Rohrau
Franz Liszt,31 mar 1732 ,  31 may 1809 ,Rohrau
Carl Czerny,31 mar 1732 ,  31 may 1809 ,Rohrau
Muzio Clementi,31 mar 1732 ,  31 may 1809 ,Rohrau
