opus,name,composer,type
626,Requiem,Wolfgang Amadeus Mozart,Requiem
550,Symphony No. 40 in G minor,Wolfgang Amadeus Mozart,Symphony
525,Eine kleine Nachtmusik (serenade no. 13),Wolfgang Amadeus Mozart,
265,"12 piano variations ""Ah vous dirai-je, maman""",Wolfgang Amadeus Mozart,
455,"10 piano var. ""Unser dummer Poebel meint""",Wolfgang Amadeus Mozart,
622,Concerto for Clarinet in A major,Wolfgang Amadeus Mozart,Concerto
620,Die Zauberflöte,Wolfgang Amadeus Mozart,
331,"Piano Sonata no. 11 in A ""Alla Turca"" (contains Turkish march)",Wolfgang Amadeus Mozart,Sonata
527,Don Giovanni,Wolfgang Amadeus Mozart,
618,"Ave, verum corpus",Wolfgang Amadeus Mozart,
183,Symphony No. 25 in G minor,Wolfgang Amadeus Mozart,Symphony
448,Sonata for 2 Pianos in D major,Wolfgang Amadeus Mozart,Sonata
492,Le Nozze de Figaro,Wolfgang Amadeus Mozart,
551,"Symphony No. 41 in C major ""Jupiter""",Wolfgang Amadeus Mozart,Symphony
16,Symphony No. 1 in E flat major,Wolfgang Amadeus Mozart,Symphony
466,Piano concerto no. 20 in  D minor,Wolfgang Amadeus Mozart,
475,Fantasia in C minor KV475,Wolfgang Amadeus Mozart,Fantasia
491,Piano concerto no. 24 in C minor,Wolfgang Amadeus Mozart,
370,Quartet for Oboe & Strings in F major,Wolfgang Amadeus Mozart,Quartet
314,Concerto for Flute (or Oboe) in D major,Wolfgang Amadeus Mozart,Concerto
66,2 arabesques,Claude Debussy,
109,La mer,Claude Debussy,
75,Suite bergamasque,Claude Debussy,Suite
117,Préludes I,Claude Debussy,
82,Nocturne for piano L82,Claude Debussy,Nocturne
113,Children''s corner,Claude Debussy,
140,Sonata for violin & piano in G minor,Claude Debussy,Sonata
68,Rêverie pour piano,Claude Debussy,
135,Sonate for cello and piano in D minor,Claude Debussy,
116,Rhapsodie for clarinet and orchestra,Claude Debussy,
65,Petite suite,Claude Debussy,
110,Images I,Claude Debussy,
71,Valse romantique,Claude Debussy,
88,Pelléas et Mélisande,Claude Debussy,
122,Images for orchestra,Claude Debussy,
95,Pour le piano,Claude Debussy,
90,Chansons de Bilitis,Claude Debussy,
60,Ariettes oubliées,Claude Debussy,
70,Ballade (slave) L70,Claude Debussy,Ballade
132,Sonata for Flute solo in A minor,Carl Philipp Emanuel Bach,Sonata
172,Cello Concerto in A major,Carl Philipp Emanuel Bach,Concerto
117:2,Solfeggietto in C minor,Carl Philipp Emanuel Bach,
48:1,Prussian Sonata No.1,Carl Philipp Emanuel Bach,Sonata
183:1,Symphony in D major Wq183,Carl Philipp Emanuel Bach,Symphony
1,"Keyboard Concerto in A minor, H403",Carl Philipp Emanuel Bach,Concerto
182:3,Symphony No. 3 in C major Wq182,Carl Philipp Emanuel Bach,Symphony
