name,birth_time,death_time,birthplace
Wolfgang Amadeus Mozart,27 jan 1756,5 dec 1791,Salzburg
Claude Debussy,22 aug 1862,25 mar 1918,St. Germain-en-Laye
Carl Philipp Emanuel Bach,8 mar 1714,14 dec 1788,Weimar
Felix Mendelssohn-Bartholdy,3 feb 1809,4 nov 1847,Hamburg
Anton Rubinstein,28 nov 1829,20 nov 1894,Ofatinţi
Richard Wagner,22 may 1813,13 feb 1883,Leipzig
Robert Schumann,8 jun 1810,29 jul 1856,Zwickau
Clara Schumann,13 sep 1819,20 may 1896,Leipzig
Franz Joseph Haydn,31 mar 1732,31 may 1809,Rohrau
Niccolò Paganini,27 oct 1782,27 may 1840,Genua
Johann Sebastian Bach,31 mar 1685,28 jul 1750,Eisenach
Muzio Clementi,23 jan 1752,10 mar 1832,Roma
Carl Czerny,21 feb 1791,15 jul 1857,Vienna
Franz Schubert,31 jan 1797,19 nov 1828,Vienna
Pyotr Ilyich Tchaikovsky,7 may 1840,6 nov 1893,Wotkinsk
Frédéric Chopin,1 mar 1810,17 oct 1849,Zelazowa Wola (Pl)
Johannes Brahms,7 may 1833,3 apr 1897,Hamburg
Franz Liszt,22 oct 1811,31 jul 1886,Raiding
Ludwig van Beethoven,17 dec 1770,26 mar 1827,Bonn
