Wolfgang Amadeus Mozart,沃尔夫冈·阿马德乌斯·莫扎特
Claude Debussy,克劳德·德彪西
Carl Philipp Emanuel Bach,卡尔·菲利普·伊曼纽尔·巴赫
Felix Mendelssohn-Bartholdy,费利克斯·门德尔松·巴托尔第
Anton Rubinstein,安东·鲁宾斯坦
Richard Wagner,理查德·瓦格纳
Robert Schumann,罗伯特·舒曼
Clara Schumann,克拉拉·舒曼
Franz Joseph Haydn,约瑟夫·海顿
Niccolò Paganini,尼科洛·帕格尼尼
Johann Sebastian Bach,约翰·塞巴斯蒂安·巴赫
Muzio Clementi,穆齐奥·克莱门蒂
Carl Czerny,卡尔·策尼
Franz Schubert,弗朗茨·舒伯特
Pyotr Ilyich Tchaikovsky,彼得·伊里奇·柴可夫斯基
Frédéric Chopin,弗雷德里克·肖邦
Johannes Brahms,约翰内斯·勃拉姆斯
Franz Liszt,弗朗茨·李斯特
Ludwig van Beethoven,路德维希·范·贝多芬
