head,tail,relationship,type
约翰·塞巴斯蒂安·巴赫,埃马努埃尔·巴赫,父亲,single
埃马努埃尔·巴赫,沃尔夫冈·阿玛多伊斯·莫扎特,好友,bidirectional
利奥波德·莫扎特,沃尔夫冈·阿玛多伊斯·莫扎特,父亲,single
利奥波德·莫扎特,安东尼奥·萨列里,好友,bidirectional
安东尼奥·萨列里,沃尔夫冈·阿玛多伊斯·莫扎特,老师,single
安东尼奥·萨列里,舒伯特,老师,single
安东尼奥·萨列里,贝多芬,老师,single
海顿,贝多芬,老师,single
海顿,沃尔夫冈·阿玛多伊斯·莫扎特,老师,single
贝多芬,车尔尼,老师,single
克莱门蒂,贝多芬,好友、出版商,single
车尔尼,李斯特,老师,single
李斯特,瓦格纳,女婿,single
瓦格纳,肖邦,好友,bidirectional
肖邦,安东·鲁宾斯坦,好友,bidirectional
李斯特,门德尔松,好友,bidirectional
门德尔松,舒曼,好友、合伙人,bidirectional
门德尔松,恩斯特,好友,bidirectional
舒曼,克拉拉,夫妻,bidirectional
舒曼,勃拉姆斯,老师,single
勃拉姆斯,克拉拉,暗恋,bidirectional
恩斯特,帕格尼尼,好友,bidirectional
肖邦,弗兰韦尔,老师,single
弗兰韦尔,德彪西,好友,bidirectional
安东·鲁宾斯坦,柴可夫斯基,老师,single
柴可夫斯基,梅克夫人,至交,bidirectional
梅克夫人,德彪西,雇主,single
