head,tail,relationship,type
"Bach, Johann Sebastian","Bach, Carl Philipp Emanuel",父亲,single
"Bach, Carl Philipp Emanuel","Mozart, Johann Georg Leopold",好友,bidirectional
"Mozart, Johann Georg Leopold","Mozart, Wolfgang Amadeus",父亲,single
"Mozart, Johann Georg Leopold","Salieri, Antonio",好友,bidirectional
"Salieri, Antonio","Mozart, Wolfgang Amadeus",老师,single
"Salieri, Antonio","Schubert, Franz",老师,single
"Salieri, Antonio","Beethoven, Ludwig van",老师,single
"Haydn, Franz Joseph","Beethoven, Ludwig van",老师,single
"Haydn, Franz Joseph","Mozart, Wolfgang Amadeus",老师,single
"Beethoven, Ludwig van","Czerny, Carl",老师,single
"Clementi, Muzio","Beethoven, Ludwig van",好友、出版商,single
"Czerny, Carl","Liszt, Franz",老师,single
"Liszt, Franz","Wagner, Richard",女婿,single
"Wagner, Richard","Chopin, Frédéric",好友,bidirectional
"Chopin, Frédéric","Rubinstein, Anton",好友,bidirectional
"Liszt, Franz","Mendelssohn-Bartholdy, Felix",好友,bidirectional
"Mendelssohn-Bartholdy, Felix","Schumann, Robert",好友、合伙人,bidirectional
"Mendelssohn-Bartholdy, Felix","Ernst, Heinrich Wilhelm",好友,bidirectional
"Schumann, Robert","Schumann, Clara",夫妻,bidirectional
"Schumann, Robert","Brahms, Johannes",老师,single
"Brahms, Johannes","Schumann, Clara",暗恋,bidirectional
"Ernst, Heinrich Wilhelm","Paganini, Niccolò",好友,bidirectional
"Rubinstein, Anton","Tchaikovsky, Pyotr Ilyich",老师,single
"Tchaikovsky, Pyotr Ilyich","Meck, Nadezhda von",至交,bidirectional
"Meck, Nadezhda von","Debussy, Claude",雇主,single
